State,Temperature,Rank
Alabama,17.1,7
Alaska,-3,50
Arizona,15.7,10
Arkansas,15.8,9
California,15.2,12
Colorado,7.3,39
Connecticut,9.4,29
Delaware,12.9,16
Florida,21.5,1
Georgia,17.5,5
Hawaii,21.1,2
Idaho,6.9,40
Illinois,11,23
Indiana,10.9,25
Iowa,8.8,36
Kansas,12.4,19
Kentucky,13.1,15
Louisiana,19.1,3
Maine,5,48
Maryland,12.3,20
Massachusetts,8.8,35
Michigan,6.9,40
Minnesota,5.1,47
Mississippi,17.4,6
Missouri,12.5,18
Montana,5.9,45
Nebraska,9.3,30
Nevada,9.9,28
New Hampshire,6.6,42
New Jersey,11.5,22
New Mexico,11.9,21
New York,7.4,37
North Carolina,15,13
North Dakota,4.7,49
Ohio,10.4,26
Oklahoma,15.3,11
Oregon,9.1,33
Pennsylvania,9.3,30
Rhode Island,10.1,27
South Carolina,16.9,8
South Dakota,7.3,38
Tennessee,14.2,14
Texas,18.2,4
Utah,9.2,32
Vermont,6.1,44
Virginia,12.8,17
Washington,9.1,34
West Virginia,11,23
Wisconsin,6.2,43
Wyoming,5.6,46
